"Token", "Item Name", "Description", "Category", "SKU", "Variation Name", "Price", "Enabled Fraser Highland Shoppe", "Current Quantity Fraser Highland Shoppe", "New Quantity Fraser Highland Shoppe", "Stock Alert Enabled Fraser Highland Shoppe", "Stock Alert Count Fraser Highland Shoppe", "Price Fraser Highland Shoppe", "Enabled DEVEL", "Current Quantity DEVEL", "New Quantity DEVEL", "Stock Alert Enabled DEVEL", "Stock Alert Count DEVEL", "Price DEVEL", "Tax - GST (5%)"
,"5 Yard Kilt with Knife Pleat to the Sett","kilt
Options: Pleat Style (Knife, Box)
Fringe (None, Single, Double, Triple)
Size (Length, Seat, Hips)
Pleating (Set, Stripe)
Tartan",Kilt,kilt-5-knif-dbl-sett,Regular,660.00,Y,0,0,Y,1,,N,,,,,,Y
,"8 Yard Kilt with Knife Pleat to the Sett","8 yard kilt.

Options: Pleat Style (Knife, Box)
Fringe (None, Single, Double, Triple)
Size (Length, Seat, Hips)
Pleating (Set, Stripe)
Tartan",Kilt,kilt-8-knif-dbl-sett,Regular,990.00,Y,0,0,Y,0,,N,,,,,,Y
,"Active Man Fashion Black Utility Kilt","Black Fashion Utility kilt.  

Some key features are as follows. -

2 pockets

Heavy Duty Poly cotton.

kilt length is 24 inches",Kilt,kilt-util-black-fash,Regular,142.86,Y,1,1,Y,1,,N,,,,,,Y
,"Active Man Fashion Black Utility Kilt Size 34","Active Man Fashion Black Utility Kilt Size 34",Kilt,Kilt-util-black-fash-34,Regular,142.86,Y,1,1,Y,0,,N,,,,,,Y
,"Active Man Fashion Black Utility Kilt Size 36","Active Man Fashion Black Utility Kilt Size 36",Kilt,kilt-util-black-fash-36,Regular,142.86,Y,2,2,Y,1,,N,,,,,,Y
,"Active Man Fashion Black Utility Kilt Size 38","Active Man Fashion Black Utility Kilt Size 38",Kilt,kilt-util-black-fash-38,Regular,142.86,Y,0,0,Y,1,,N,,,,,,Y
,"Active Man Fashion Black Utility Kilt Size 40","Active Man Fashion Black Utility Kilt Size 40",Kilt,kilt-util-black-fash-40,Regular,142.86,Y,0,0,Y,1,,N,,,,,,Y
,"Active Man Fashion Black Utility Kilt Size 42","Active Man Fashion Black Utility Kilt Size 42",Kilt,kilt-util-black-fash-42,Regular,142.86,Y,1,1,Y,0,,N,,,,,,Y
,"Active Man Fashion Black Utility Kilt Size 44","Active Man Fashion Black Utility Kilt Size 44",Kilt,kilt-util-black-fash-44,Regular,142.86,Y,0,0,Y,0,,N,,,,,,Y
,"Active Man Fashion Black Utility Kilt Size 46","Active Man Fashion Black Utility Kilt Size 46",Kilt,kilt-util-black-fash-46,Regular,142.86,Y,0,0,Y,0,,N,,,,,,Y
,"Active Man Fashion Black Utility Kilt Size 48","Active Man Fashion Black Utility Kilt Size 48",Kilt,kilt-util-black-fash-48,Regular,142.86,Y,0,0,Y,1,,N,,,,,,Y
,"Active Man Fashion Black Utility Kilt Size 50","Active Man Fashion Black Utility Kilt Size 50",Kilt,kilt-util-black-fash-50,Regular,142.86,Y,0,0,Y,0,,N,,,,,,Y
,"Argyle Jacket and 5 button vest (Special Order)","Custom sewed to order Argyle Jacket and 5 button vest.  

This is a SPECIAL ORDER item.  ",Kilt,Argyle-5but-custom,Regular,475.00,Y,0,0,Y,0,,N,,,,,,Y
,"Black Watch Sport Kilt Size 30 5 Yard 10oz 70% wool","Black Watch Sport Kilt Size 30 5 Yard 10oz 70% wool",Kilt,Sportkilt-BW-30,Regular,214.28,Y,0,0,Y,0,,N,,,,,,Y
,"Black Watch Sport Kilt Size 32 5 Yard 10oz 70% wool","Black Watch Sport Kilt Size 32 5 Yard 10oz 70% wool",Kilt,Sportkilt-BW-32,Regular,214.28,Y,1,1,Y,0,,N,,,,,,Y
,"Black Watch Sport Kilt Size 34 5 Yard 10oz 70% wool","Black Watch Sport Kilt Size 34 5 Yard 10oz 70% wool",Kilt,Sportkilt-BW-34,Regular,214.28,Y,0,0,Y,0,,N,,,,,,Y
,"Black Watch Sport Kilt Size 36 5 Yard 10oz 70% wool","Black Watch Sport Kilt Size 36 5 Yard 10oz 70% wool",Kilt,Sportkilt-BW-36,Regular,214.28,Y,1,1,Y,0,,N,,,,,,Y
,"Black Watch Sport Kilt Size 38 5 Yard 10oz 70% wool","Black Watch Sport Kilt Size 38 5 Yard 10oz 70% wool",Kilt,Sportkilt-BW-38,Regular,214.28,Y,1,1,Y,0,,N,,,,,,Y
,"Black Watch Sport Kilt Size 40 5 Yard 10oz 70% wool","Black Watch Sport Kilt Size 40 5 Yard 10oz 70% wool",Kilt,Sportkilt-BW-40,Regular,214.28,Y,1,1,Y,0,,N,,,,,,Y
,"Black Watch Sport Kilt Size 42 5 Yard 10oz 70% wool","Black Watch Sport Kilt Size 42 5 Yard 10oz 70% wool",Kilt,Sportkilt-BW-42,Regular,214.28,Y,0,0,Y,0,,N,,,,,,Y
,"Black Watch Sport Kilt Size 44 5 Yard 10oz 70% wool","Black Watch Sport Kilt Size 44 5 Yard 10oz 70% wool",Kilt,Sportkilt-BW-44,Regular,214.28,Y,1,1,Y,1,,N,,,,,,Y
,"Black Watch Sport Kilt Size 46 5 Yard 10oz 70% wool","Black Watch Sport Kilt Size 46 5 Yard 10oz 70% wool",Kilt,Sportkilt-BW-46,Regular,214.28,Y,0,0,Y,0,,N,,,,,,Y
,"Black Watch Sport Kilt Size 48 5 Yard 10oz 70% wool","Black Watch Sport Kilt Size 48 5 Yard 10oz 70% wool",Kilt,Sportkilt-BW-48,Regular,214.28,Y,1,1,Y,1,,N,,,,,,Y
,"Black Watch Sport Kilt Size 50 5 Yard 10oz 70% wool","Black Watch Sport Kilt Size 50 5 Yard 10oz 70% wool",Kilt,Sportkilt-BW-50,Regular,214.28,Y,0,0,Y,0,,N,,,,,,Y
,"Budget Argyle Jacket and 5 button vest (Special Order)","Budget Argyle Jacket and 5 button vest.  Lightweight wool.

Options include size (38-56), sleeve (short, reg, long).

This is a SPECIAL ORDER item.  There is a lead time as we have to have a sufficiently large order from our supplier.",Kilt,Argyle-Jacket-5butt,Regular,300.00,Y,0,0,Y,0,,N,,,,,,Y
,"Budget Prince Charlie and 3 button vest (Special Order)","Budget  Full Dress Prince Charlie Jacket & Waistcoat. Included is the 3 button vest.

Options include Epaulette style (flat, braid), size (38-56), sleeve (short, reg, long).

This is a SPECIAL ORDER item.  There is a lead time as we have to have a sufficient sized order from our supplier",Kilt,prince-charlie-3butt,Regular,300.00,Y,1,1,Y,0,,N,,,,,,Y
,"Fraser Kilt","Fraser Kilt 52 waist 48 hips 24 Height
13Oz",Kilt,kilt-524824-fraser-1,Regular,990.00,Y,0,0,Y,0,,N,,,,,,Y
,"Fraser Sport Kilt Size 28 5 Yard 10oz 70% wool","Fraser Sport Kilt Size 28 5 Yard 10oz 70% wool",Kilt,Sportkilt-FRA-28,Regular,214.28,Y,1,1,Y,0,,N,,,,,,Y
,"Fraser Sport Kilt Size 30 5 Yard 10oz 70% wool","Fraser Sport Kilt Size 30 5 Yard 10oz 70% wool",Kilt,Sportkilt-FRA-30,Regular,214.28,Y,1,1,Y,0,,N,,,,,,Y
,"Fraser Sport Kilt Size 32 5 Yard 10oz 70% wool","Fraser Sport Kilt Size 32 5 Yard 10oz 70% wool",Kilt,Sportkilt-FRA-32,Regular,214.28,Y,1,1,Y,0,,N,,,,,,Y
,"Fraser Sport Kilt Size 34 5 Yard 10oz 70% wool","Fraser Sport Kilt Size 34 5 Yard 10oz 70% wool",Kilt,Sportkilt-FRA-34,Regular,214.28,Y,2,2,Y,0,,N,,,,,,Y
,"Fraser Sport Kilt Size 36 5 Yard 10oz 70% wool","Fraser Sport Kilt Size 36 5 Yard 10oz 70% wool",Kilt,Sportkilt-FRA-36,Regular,214.28,Y,2,2,Y,0,,N,,,,,,Y
,"Fraser Sport Kilt Size 38 5 Yard 10oz 70% wool","Fraser Sport Kilt Size 38 5 Yard 10oz 70% wool",Kilt,Sportkilt-FRA-38,Regular,214.28,Y,2,2,Y,0,,N,,,,,,Y
,"Fraser Sport Kilt Size 40 5 Yard 10oz 70% wool","Fraser Sport Kilt Size 40 5 Yard 10oz 70% wool",Kilt,Sportkilt-FRA-40,Regular,214.28,Y,2,2,Y,0,,N,,,,,,Y
,"Fraser Sport Kilt Size 42 5 Yard 10oz 70% wool","Fraser Sport Kilt Size 42 5 Yard 10oz 70% wool",Kilt,Sportkilt-FRA-42,Regular,214.28,Y,1,1,Y,0,,N,,,,,,Y
,"Fraser Sport Kilt Size 44 5 Yard 10oz 70% wool","Fraser Sport Kilt Size 44 5 Yard 10oz 70% wool",Kilt,Sportkilt-FRA-44,Regular,214.28,Y,2,2,Y,0,,N,,,,,,Y
,"Fraser Sport Kilt Size 46 5 Yard 10oz 70% wool","Fraser Sport Kilt Size 46 5 Yard 10oz 70% wool",Kilt,Sportkilt-FRA-46,Regular,214.28,Y,1,1,Y,0,,N,,,,,,Y
,"Fraser Sport Kilt Size 48 5 Yard 10oz 70% wool","Fraser Sport Kilt Size 48 5 Yard 10oz 70% wool",Kilt,Sportkilt-FRA-48,Regular,214.28,Y,1,1,Y,1,,N,,,,,,Y
,"Fraser Sport Kilt Size 50 5 Yard 10oz 70% wool","Fraser Sport Kilt Size 50 5 Yard 10oz 70% wool",Kilt,Sportkilt-FRA-50,Regular,214.28,Y,2,2,Y,0,,N,,,,,,Y
,"Fraser Sport Kilt Size 52 5 Yard 10oz 70% wool","Fraser Sport Kilt Size 52 5 Yard 10oz 70% wool",Kilt,Sportkilt-FRA-52,Regular,214.28,Y,0,0,Y,0,,N,,,,,,Y
,"Heavy Duty Black Utility Kilt Size 30","Heavy Duty Black Utility Kilt Size 30",Kilt,Kilt-util-black-hv-30,Regular,142.86,Y,1,1,Y,0,,N,,,,,,Y
,"Heavy Duty Black Utility Kilt Size 32","Heavy Duty Black Utility Kilt Size 32",Kilt,Kilt-util-black-hv-32,Regular,142.86,Y,0,0,Y,0,,N,,,,,,Y
,"Heavy Duty Black Utility Kilt Size 34","Heavy Duty Black Utility Kilt Size 34",Kilt,Kilt-util-black-hv-34,Regular,142.86,Y,0,0,Y,1,,N,,,,,,Y
,"Heavy Duty Black Utility Kilt Size 36","Heavy Duty Black Utility Kilt Size 36",Kilt,kilt-util-black-hv-36,Regular,142.86,Y,0,0,Y,0,,N,,,,,,Y
,"Heavy Duty Black Utility Kilt Size 38","Heavy Duty Black Utility Kilt Size 38",Kilt,kilt-util-black-hv-38,Regular,142.86,Y,1,1,Y,1,,N,,,,,,Y
,"Heavy Duty Black Utility Kilt Size 40","Heavy Duty Black Utility Kilt Size 40",Kilt,kilt-util-black-hv-40,Regular,142.86,Y,1,1,Y,1,,N,,,,,,Y
,"Heavy Duty Black Utility Kilt Size 42","Heavy Duty Black Utility Kilt Size 42",Kilt,kilt-util-black-hv-42,Regular,142.86,Y,0,0,Y,1,,N,,,,,,Y
,"Heavy Duty Black Utility Kilt Size 44","Heavy Duty Black Utility Kilt Size 44",Kilt,kilt-util-black-hv-44,Regular,142.86,Y,0,0,Y,1,,N,,,,,,Y
,"Heavy Duty Black Utility Kilt Size 46","Heavy Duty Black Utility Kilt Size 46",Kilt,kilt-util-black-hv-46,Regular,142.86,Y,0,0,Y,0,,N,,,,,,Y
,"Heavy Duty Black Utility Kilt Size 48","Heavy Duty Black Utility Kilt Size 48",Kilt,kilt-util-black-hv-48,Regular,142.86,Y,1,1,Y,0,,N,,,,,,Y
,"Heavy Duty Black Utility Kilt Size 50","Heavy Duty Black Utility Kilt Size 50",Kilt,kilt-util-black-hv-50,Regular,142.86,Y,0,0,Y,0,,N,,,,,,Y
,"Heavy Duty Utility Kilt","Heavy Duty Utility kilt.  

Some key features are as follows. -

2 pockets

Heavy Duty Poly cotton.

kilt length is 24 inches",Kilt,kilt-util-black-heav,Regular,142.86,Y,0,0,Y,1,,N,,,,,,Y
,"Heavy Duty Utility Kilt Camoflage","Heavy Duty Utility kilt.  

Some key features are as follows. -

2 pockets

Heavy Duty Poly cotton.

kilt length is 24 inches",Kilt,kilt-util-camo-heav,Regular,142.86,Y,4,4,Y,1,,N,,,,,,Y
,"Heavy Duty Utility Kilt Camoflage Size 30","Heavy Duty Utility Kilt Camoflage Size 30",Kilt,Kilt-util-camo-30,Regular,142.86,Y,0,0,Y,0,,N,,,,,,Y
,"Heavy Duty Utility Kilt Camoflage Size 32","Heavy Duty Utility Kilt Camoflage Size 32",Kilt,Kilt-util-camo-32,Regular,142.86,Y,0,0,Y,0,,N,,,,,,Y
,"Heavy Duty Utility Kilt Camoflage Size 34","Heavy Duty Utility Kilt Camoflage Size 34",Kilt,Kilt-util-camo-34,Regular,142.86,Y,1,1,Y,0,,N,,,,,,Y
,"Heavy Duty Utility Kilt Camoflage Size 36","Heavy Duty Utility Kilt Camoflage Size 36",Kilt,kilt-util-camo-36,Regular,142.86,Y,2,2,Y,0,,N,,,,,,Y
,"Heavy Duty Utility Kilt Camoflage Size 38","Heavy Duty Utility Kilt Camoflage Size 38",Kilt,kilt-util-camo-38,Regular,142.86,Y,0,0,Y,1,,N,,,,,,Y
,"Heavy Duty Utility Kilt Camoflage Size 40","Heavy Duty Utility Kilt Camoflage Size 40",Kilt,kilt-util-camo-40,Regular,142.86,Y,2,2,Y,0,,N,,,,,,Y
,"Heavy Duty Utility Kilt Camoflage Size 42","Heavy Duty Utility Kilt Camoflage Size 42",Kilt,kilt-util-camo-42,Regular,142.86,Y,2,2,Y,0,,N,,,,,,Y
,"Heavy Duty Utility Kilt Camoflage Size 44","Heavy Duty Utility Kilt Camoflage Size 44",Kilt,kilt-util-camo-44,Regular,142.86,Y,0,0,Y,0,,N,,,,,,Y
,"Heavy Duty Utility Kilt Camoflage Size 46","Heavy Duty Utility Kilt Camoflage Size 46",Kilt,kilt-util-camo-46,Regular,142.86,Y,0,0,Y,0,,N,,,,,,Y
,"Heavy Duty Utility Kilt Camoflage Size 48","Heavy Duty Utility Kilt Camoflage Size 48",Kilt,kilt-util-camo-48,Regular,142.86,Y,-1,-1,Y,1,,N,,,,,,Y
,"Heavy Duty Utility Kilt Camoflage Size 50","Heavy Duty Utility Kilt Camoflage Size 50",Kilt,kilt-util-camo-50,Regular,142.86,Y,0,0,Y,0,,N,,,,,,Y
,"Honor of Scotland Sport Kilt Size 30 5 Yard 10oz 70% wool","Honor of Scotland Sport Kilt Size 30 5 Yard 10oz 70% wool",Kilt,Sportkilt-HoS-30,Regular,214.28,Y,0,0,Y,0,,N,,,,,,Y
,"Honor of Scotland Sport Kilt Size 32 5 Yard 10oz 70% wool","Honor of Scotland Sport Kilt Size 32 5 Yard 10oz 70% wool",Kilt,Sportkilt-HoS-32,Regular,214.28,Y,0,0,Y,0,,N,,,,,,Y
,"Honor of Scotland Sport Kilt Size 34 5 Yard 10oz 70% wool","Honor of Scotland Sport Kilt Size 34 5 Yard 10oz 70% wool",Kilt,Sportkilt-HoS-34,Regular,214.28,Y,0,0,Y,0,,N,,,,,,Y
,"Honor of Scotland Sport Kilt Size 36 5 Yard 10oz 70% wool","Honor of Scotland Sport Kilt Size 36 5 Yard 10oz 70% wool",Kilt,Sportkilt-HoS-36,Regular,214.28,Y,1,1,Y,0,,N,,,,,,Y
,"Honor of Scotland Sport Kilt Size 38 5 Yard 10oz 70% wool","Honor of Scotland Sport Kilt Size 38 5 Yard 10oz 70% wool",Kilt,Sportkilt-HoS-38,Regular,214.28,Y,1,1,Y,0,,N,,,,,,Y
,"Honor of Scotland Sport Kilt Size 40 5 Yard 10oz 70% wool","Honor of Scotland Sport Kilt Size 40 5 Yard 10oz 70% wool",Kilt,Sportkilt-HoS-40,Regular,214.28,Y,1,1,Y,0,,N,,,,,,Y
,"Honor of Scotland Sport Kilt Size 42 5 Yard 10oz 70% wool","Honor of Scotland Sport Kilt Size 42 5 Yard 10oz 70% wool",Kilt,Sportkilt-HoS-42,Regular,214.28,Y,0,0,Y,0,,N,,,,,,Y
,"Honor of Scotland Sport Kilt Size 44 5 Yard 10oz 70% wool","Honor of Scotland Sport Kilt Size 44 5 Yard 10oz 70% wool",Kilt,Sportkilt-HoS-44,Regular,214.28,Y,1,1,Y,0,,N,,,,,,Y
,"Honor of Scotland Sport Kilt Size 46 5 Yard 10oz 70% wool","Honor of Scotland Sport Kilt Size 46 5 Yard 10oz 70% wool",Kilt,Sportkilt-HoS-46,Regular,214.28,Y,0,0,Y,0,,N,,,,,,Y
,"Honor of Scotland Sport Kilt Size 48 5 Yard 10oz 70% wool","Honor of Scotland Sport Kilt Size 48 5 Yard 10oz 70% wool",Kilt,Sportkilt-HoS-48,Regular,214.28,Y,1,1,Y,1,,N,,,,,,Y
,"Honor of Scotland Sport Kilt Size 50 5 Yard 10oz 70% wool","Honor of Scotland Sport Kilt Size 50 5 Yard 10oz 70% wool",Kilt,Sportkilt-HoS-50,Regular,214.28,Y,0,0,Y,0,,N,,,,,,Y
,Kilt,kilt,Kilt,u-kilt,Regular,990.00,Y,0,0,Y,0,,N,,,,,,Y
,"Kilt - used","Used kilt",Kilt,u-kilt-used,Regular,750.00,Y,1,1,Y,0,,N,,,,,,Y
,"Kilt Strap and Buckle","Kilt strap and buckle.",Kilt,u-ks-ks,Regular,7.62,Y,51,51,Y,3,,N,,,,,,Y
,"Kilt Strap Extender","Kilt Strap Extender",Kilt,u-ks-ext,Regular,8.10,Y,0,0,Y,3,,N,,,,,,Y
,"Kiltpin ? Eternity Cross","Kiltpin ? Eternity Cross",Kilt,Kiltpin-eternitycross,Regular,19.05,Y,2,2,Y,0,,N,,,,,,Y
,"Kiltpin ? Stone and Arrow","Kiltpin ? Stone and Arrow",Kilt,Kiltpin-stonearrow,Regular,19.05,Y,1,1,Y,1,,N,,,,,,Y
,"Kiltpin ? Thistle","Kiltpin ? Thistle",Kilt,Kiltpin-thistle,Regular,14.17,Y,-4,-4,Y,1,,N,,,,,,Y
,"Mason&#039;s Kilt Pin","Mason&#039;s Kilt Pin",Kilt,kiltpin-masons-gold,Regular,19.05,Y,1,1,Y,0,,N,,,,,,Y
,"McKenzie Sport Kilt Size 30 5 Yard 10oz 70% wool","McKenzie Sport Kilt Size 30 5 Yard 10oz 70% wool",Kilt,Sportkilt-McK-30,Regular,214.28,Y,0,0,Y,0,,N,,,,,,Y
,"McKenzie Sport Kilt Size 32 5 Yard 10oz 70% wool","McKenzie Sport Kilt Size 32 5 Yard 10oz 70% wool",Kilt,Sportkilt-McK-32,Regular,214.28,Y,0,0,Y,0,,N,,,,,,Y
,"McKenzie Sport Kilt Size 34 5 Yard 10oz 70% wool","McKenzie Sport Kilt Size 34 5 Yard 10oz 70% wool",Kilt,Sportkilt-McK-34,Regular,214.28,Y,0,0,Y,1,,N,,,,,,Y
,"McKenzie Sport Kilt Size 36 5 Yard 10oz 70% wool","McKenzie Sport Kilt Size 36 5 Yard 10oz 70% wool",Kilt,Sportkilt-McK-36,Regular,214.28,Y,1,1,Y,0,,N,,,,,,Y
,"McKenzie Sport Kilt Size 38 5 Yard 10oz 70% wool","McKenzie Sport Kilt Size 38 5 Yard 10oz 70% wool",Kilt,Sportkilt-McK-38,Regular,214.28,Y,1,1,Y,1,,N,,,,,,Y
,"McKenzie Sport Kilt Size 40 5 Yard 10oz 70% wool","McKenzie Sport Kilt Size 40 5 Yard 10oz 70% wool",Kilt,Sportkilt-McK-40,Regular,214.28,Y,0,0,Y,0,,N,,,,,,Y
,"McKenzie Sport Kilt Size 42 5 Yard 10oz 70% wool","McKenzie Sport Kilt Size 42 5 Yard 10oz 70% wool",Kilt,Sportkilt-McK-42,Regular,214.28,Y,1,1,Y,0,,N,,,,,,Y
,"McKenzie Sport Kilt Size 44 5 Yard 10oz 70% wool","McKenzie Sport Kilt Size 44 5 Yard 10oz 70% wool",Kilt,Sportkilt-McK-44,Regular,214.28,Y,0,0,Y,0,,N,,,,,,Y
,"McKenzie Sport Kilt Size 46 5 Yard 10oz 70% wool","McKenzie Sport Kilt Size 46 5 Yard 10oz 70% wool",Kilt,Sportkilt-McK-46,Regular,214.28,Y,0,0,Y,0,,N,,,,,,Y
,"McKenzie Sport Kilt Size 48 5 Yard 10oz 70% wool","McKenzie Sport Kilt Size 48 5 Yard 10oz 70% wool",Kilt,Sportkilt-McK-48,Regular,214.28,Y,1,1,Y,0,,N,,,,,,Y
,"McKenzie Sport Kilt Size 50 5 Yard 10oz 70% wool","McKenzie Sport Kilt Size 50 5 Yard 10oz 70% wool",Kilt,Sportkilt-McK-50,Regular,214.28,Y,0,0,Y,0,,N,,,,,,Y
,"Necktie Black Watch","Necktie Black Watch",Kilt,Necktie-BW,Regular,20.00,Y,0,0,Y,0,,N,,,,,,Y
,"Necktie Honor of Scotland","Necktie Honor of Scotland",Kilt,Necktie-HoS,Regular,20.00,Y,0,0,Y,0,,N,,,,,,Y
,"Necktie McKenzie","Necktie McKenzie",Kilt,Necktie-McK,Regular,20.00,Y,0,0,Y,0,,N,,,,,,Y
,"Necktie Pride of Scotland","Necktie Pride of Scotland",Kilt,Necktie-PoS,Regular,20.00,Y,0,0,Y,0,,N,,,,,,Y
,"Necktie Royal Stewart","Necktie Royal Stewart",Kilt,Necktie-RS,Regular,20.00,Y,0,0,Y,0,,N,,,,,,Y
,"Pride of Scotland Sport Kilt Size 34 5 Yard 10oz 70% wool","Pride of Scotland Sport Kilt Size 34 5 Yard 10oz 70% wool",Kilt,Sportkilt-PoS-34,Regular,214.28,Y,0,0,Y,0,,N,,,,,,Y
,"Pride of Scotland Sport Kilt Size 36 5 Yard 10oz 70% wool","Pride of Scotland Sport Kilt Size 36 5 Yard 10oz 70% wool",Kilt,Sportkilt-PoS-36,Regular,214.28,Y,-1,-1,Y,1,,N,,,,,,Y
,"Pride of Scotland Sport Kilt Size 38 5 Yard 10oz 70% wool","Pride of Scotland Sport Kilt Size 38 5 Yard 10oz 70% wool",Kilt,Sportkilt-PoS-38,Regular,214.28,Y,0,0,Y,0,,N,,,,,,Y
,"Pride of Scotland Sport Kilt Size 40 5 Yard 10oz 70% wool","Pride of Scotland Sport Kilt Size 40 5 Yard 10oz 70% wool",Kilt,Sportkilt-PoS-40,Regular,214.28,Y,0,0,Y,0,,N,,,,,,Y
,"Pride of Scotland Sport Kilt Size 42 5 Yard 10oz 70% wool","Pride of Scotland Sport Kilt Size 42 5 Yard 10oz 70% wool",Kilt,Sportkilt-PoS-42,Regular,214.28,Y,0,0,Y,0,,N,,,,,,Y
,"Pride of Scotland Sport Kilt Size 44 5 Yard 10oz 70% wool","Pride of Scotland Sport Kilt Size 44 5 Yard 10oz 70% wool",Kilt,Sportkilt-PoS-44,Regular,214.28,Y,0,0,Y,0,,N,,,,,,Y
,"Pride of Scotland Sport Kilt Size 46 5 Yard 10oz 70% wool","Pride of Scotland Sport Kilt Size 46 5 Yard 10oz 70% wool",Kilt,Sportkilt-PoS-46,Regular,214.28,Y,0,0,Y,0,,N,,,,,,Y
,"Pride of Scotland Sport Kilt Size 48 5 Yard 10oz 70% wool","Pride of Scotland Sport Kilt Size 48 5 Yard 10oz 70% wool",Kilt,Sportkilt-PoS-48,Regular,214.28,Y,0,0,Y,0,,N,,,,,,Y
,"Pride of Scotland Sport Kilt Size 50 5 Yard 10oz 70% wool","Pride of Scotland Sport Kilt Size 50 5 Yard 10oz 70% wool",Kilt,Sportkilt-PoS-50,Regular,214.28,Y,0,0,Y,0,,N,,,,,,Y
,"Prince Charlie and 3 button vest (Special Order)","Full Dress Prince Charlie Jacket & Waistcoat. Included is the 3 button vest.

This jacket is sewn in our own shop sized to you.

Options include Epaulette style (flat, braid), size (38-56), sleeve (short, reg, long).

This is a SPECIAL ORDER item.  ",Kilt,prince-charlie-3,Regular,475.00,Y,0,0,Y,0,,N,,,,,,Y
,"Prince Charlie and 5 button vest (Special Order)","Full Dress Prince Charlie Jacket & Waistcoat. Included is the 5 button vest.

Options include Epaulette style (flat, braid), size (38-56), sleeve (short, reg, long).

This is a SPECIAL ORDER item.",Kilt,prince-charlie-5butt,Regular,300.00,Y,0,0,Y,0,,N,,,,,,Y
,"Red Fashion Kilt Size 30","Red Fashion Kilt Size 30",Kilt,Kilt-util-red-30,Regular,142.86,Y,0,0,Y,0,,N,,,,,,Y
,"Red Fashion Kilt Size 32","Red Fashion Kilt Size 32",Kilt,Kilt-util-red-32,Regular,142.86,Y,0,0,Y,0,,N,,,,,,Y
,"Red Fashion Kilt Size 34","Red Fashion Kilt Size 34",Kilt,Kilt-util-red-34,Regular,142.86,Y,0,0,Y,0,,N,,,,,,Y
,"Red Fashion Kilt Size 36","Red Fashion Kilt Size 36",Kilt,kilt-util-red-36,Regular,142.86,Y,1,1,Y,0,,N,,,,,,Y
,"Red Fashion Kilt Size 38","Red Fashion Kilt Size 38",Kilt,kilt-util-red-38,Regular,142.86,Y,1,1,Y,0,,N,,,,,,Y
,"Red Fashion Kilt Size 40","Red Fashion Kilt Size 40",Kilt,kilt-util-red-40,Regular,142.86,Y,1,1,Y,0,,N,,,,,,Y
,"Red Fashion Kilt Size 42","Red Fashion Kilt Size 42",Kilt,kilt-util-red-42,Regular,142.86,Y,0,0,Y,0,,N,,,,,,Y
,"Red Fashion Kilt Size 44","Red Fashion Kilt Size 44",Kilt,kilt-util-red-44,Regular,142.86,Y,0,0,Y,0,,N,,,,,,Y
,"Red Fashion Kilt Size 46","Red Fashion Kilt Size 46",Kilt,kilt-util-red-46,Regular,142.86,Y,0,0,Y,0,,N,,,,,,Y
,"Red Fashion Kilt Size 48","Red Fashion Kilt Size 48",Kilt,kilt-util-red-48,Regular,142.86,Y,0,0,Y,0,,N,,,,,,Y
,"Red Fashion Kilt Size 50","Red Fashion Kilt Size 50",Kilt,kilt-util-red-50,Regular,142.86,Y,0,0,Y,0,,N,,,,,,Y
,"Red Utility Kilt","Red Utility kilt.  

Some key features are as follows. -

2 pockets

Heavy Duty Poly cotton.

kilt length is 24 inches",Kilt,kilt-util-red,Regular,142.86,Y,0,0,Y,0,,N,,,,,,Y
,"Royal Stewart Sport Kilt Size 30 5 Yard 10oz 70% wool","Royal Stewart Sport Kilt Size 30 5 Yard 10oz 70% wool",Kilt,Sportkilt-RS-30,Regular,214.28,Y,0,0,Y,0,,N,,,,,,Y
,"Royal Stewart Sport Kilt Size 32 5 Yard 10oz 70% wool","Royal Stewart Sport Kilt Size 32 5 Yard 10oz 70% wool",Kilt,sportkilt-RS-32,Regular,214.28,Y,0,0,Y,0,,N,,,,,,Y
,"Royal Stewart Sport Kilt Size 34 5 Yard 10oz 70% wool","Royal Stewart Sport Kilt Size 34 5 Yard 10oz 70% wool",Kilt,Sportkilt-RS-34,Regular,214.28,Y,1,1,Y,0,,N,,,,,,Y
,"Royal Stewart Sport Kilt Size 36 5 Yard 10oz 70% wool","Royal Stewart Sport Kilt Size 36 5 Yard 10oz 70% wool",Kilt,Sportkilt-RS-36,Regular,214.28,Y,0,0,Y,0,,N,,,,,,Y
,"Royal Stewart Sport Kilt Size 38 5 Yard 10oz 70% wool","Royal Stewart Sport Kilt Size 38 5 Yard 10oz 70% wool",Kilt,Sportkilt-RS-38,Regular,214.28,Y,1,1,Y,0,,N,,,,,,Y
,"Royal Stewart Sport Kilt Size 40 5 Yard 10oz 70% wool","Royal Stewart Sport Kilt Size 40 5 Yard 10oz 70% wool",Kilt,Sportkilt-RS-40,Regular,214.28,Y,1,1,Y,0,,N,,,,,,Y
,"Royal Stewart Sport Kilt Size 42 5 Yard 10oz 70% wool","Royal Stewart Sport Kilt Size 42 5 Yard 10oz 70% wool",Kilt,Sportkilt-RS-42,Regular,214.28,Y,1,1,Y,0,,N,,,,,,Y
